outcome,effect_label,effect,gap,arm,method,true_tau,n_rep,n_identified,bias,bias_mcse,rmse,coverage,coverage_mcse,fpr,fnr,sign_correctness,claim_accuracy,claim_accuracy_mcse,attenuation_ratio,unidentified_rate,gate_rejection_rate,anticipation_classification_accuracy
launches,primary,0.15,7,zero,naive_announcement,0.0,2000,2000,-0.00037693901151625563,0.0015324856897014703,0.06851874450768085,0.7965,0.009002437170011241,0.2035,,,0.7965,0.009002437170011241,,0.0,,
launches,primary,0.15,7,zero,verified_activation,0.0,2000,2000,-0.0007436809171649672,0.0014896853720129763,0.06660824959400935,0.811,0.00875439889427024,0.189,,,0.811,0.00875439889427024,,0.0,,
launches,primary,0.15,7,zero,activation_plus_anticipation_gate,0.0,2000,1203,0.0022254409748103817,0.0019317179539264436,0.06700937815161044,0.8337489609310058,0.010734134267298441,0.1662510390689942,,,0.8337489609310058,0.010734134267298441,,0.3985,0.3985,0.6015
launches,primary,0.15,7,no_anticipation,naive_announcement,0.15,2000,2000,-0.03705140256498622,0.001556274724450276,0.07883125317372718,0.8055,0.00885069912492793,,0.504,0.945,0.494,0.01117953487404552,0.7529906495667585,0.0,,
launches,primary,0.15,7,no_anticipation,verified_activation,0.15,2000,2000,-5.1839910035628156e-05,0.0015348059552505763,0.06862146674766774,0.8025,0.00890207138816579,,0.236,0.9875,0.7635,0.009501782727467515,0.9996544005997625,0.0,,
launches,primary,0.15,7,no_anticipation,activation_plus_anticipation_gate,0.15,2000,1237,-0.000384018364348232,0.001981718569423195,0.06967192520493816,0.8270008084074374,0.010754498271169026,,0.2667744543249798,0.9830234438156831,0.7324171382376717,0.012587038085727434,0.9974398775710118,0.3815,0.3815,0.6185
launches,primary,0.15,7,anticipation,naive_announcement,0.15,2000,2000,-0.022711232255504088,0.0015748683067333738,0.07398472969124362,0.804,0.00887648579112252,,0.379,0.9595,0.6175,0.010867238609692896,0.8485917849633061,0.0,,
launches,primary,0.15,7,anticipation,verified_activation,0.15,2000,2000,-0.01870673089597419,0.0015672979323065432,0.07252813919597356,0.7905,0.009099718402236412,,0.334,0.971,0.6655,0.010550112558641259,0.8752884606935054,0.0,,
launches,primary,0.15,7,anticipation,activation_plus_anticipation_gate,0.15,2000,1101,-0.014107829275972289,0.0021066238007591506,0.07127889637611824,0.818346957311535,0.011619740116406724,,0.35876475930971846,0.9727520435967303,0.6403269754768393,0.014463092807053192,0.9059478048268514,0.4495,0.4495,0.4495
launches,primary,0.15,10,zero,naive_announcement,0.0,2000,2000,-2.627520422414026e-05,0.001599871369119706,0.07153053821583166,0.7535,0.009636849848368502,0.2465,,,0.7535,0.009636849848368502,,0.0,,
launches,primary,0.15,10,zero,verified_activation,0.0,2000,2000,-0.0007142896261824549,0.001518675966149715,0.0679040294334692,0.811,0.00875439889427024,0.189,,,0.811,0.00875439889427024,,0.0,,
launches,primary,0.15,10,zero,activation_plus_anticipation_gate,0.0,2000,1349,-0.0006801517022829747,0.001960021227456496,0.0719656277414576,0.7902149740548554,0.011085464502122937,0.20978502594514456,,,0.7902149740548554,0.011085464502122937,,0.3255,0.3255,0.6745
launches,primary,0.15,10,no_anticipation,naive_announcement,0.15,2000,2000,-0.04541182848669492,0.0016086310427142242,0.0850590038493346,0.79,0.00910768905925098,,0.5225,0.915,0.475,0.011166355717063647,0.6972544767553672,0.0,,
launches,primary,0.15,10,no_anticipation,verified_activation,0.15,2000,2000,0.0019630526408790927,0.0015518510414473485,0.06941130054752226,0.796,0.009010660353159472,,0.235,0.987,0.764,0.009494840704298308,1.0130870176058606,0.0,,
launches,primary,0.15,10,no_anticipation,activation_plus_anticipation_gate,0.15,2000,1366,0.004033015360730807,0.0019767717246915915,0.07314489263955633,0.794289897510981,0.010936843056128659,,0.29941434846266474,0.9787701317715959,0.7005856515373353,0.012392004825685456,1.0268867690715386,0.317,0.317,0.683
